Year,No_Smoothing,Lowess(5),Status
1880,-0.17,-0.1,good
1881,-0.09,,bad 
1882,-0.11,,bad 
1883,,-0.2,bad 
1884,-0.28,-0.24,bad 
1885,-0.33,-0.26,bad 
1886,-0.31,-0.27,good
1887,-0.36,-0.27,good
1888,-0.17,-0.26,good
1889,-0.1,-0.25,bad 
1890,-0.35,-0.25,good
1891,-0.22,-0.26,good
1892,-0.27,-0.27,good
1893,-0.32,-0.26,good
1894,-0.32,-0.24,good
1895,-0.23,-0.23,good
1896,-0.11,-0.21,good
1897,-0.11,-0.18,good
1898,-0.27,-0.17,good
1899,-0.18,-0.17,good
1900,-0.08,-0.2,good
1901,-0.16,-0.23,good
1902,-0.28,,good
1903,-0.37,-0.28,good
1904,-0.47,-0.31,good
1905,-0.26,-0.34,good
1906,-0.22,-0.36,good
1907,-0.39,-0.37,good
1908,-0.43,-0.39,good
1909,-0.48,-0.41,good
1910,,-0.41,good
1911,-0.44,-0.39,good
1912,-0.36,-0.35,bad 
1913,-0.34,-0.32,bad 
1914,-0.15,-0.31,bad 
1915,-0.14,-0.3,bad 
1916,-0.36,-0.3,bad 
1917,-0.46,-0.3,bad 
1918,-0.3,-0.3,bad 
1919,-0.28,-0.3,bad 
1920,-0.27,-0.28,bad 
1921,-0.19,-0.27,good
1922,-0.29,-0.26,good
1923,-0.27,-0.24,good
1924,-0.27,-0.23,good
1925,-0.22,-0.22,good
1926,-0.11,-0.22,good
1927,-0.22,-0.21,bad 
1928,-0.2,-0.2,bad 
1929,-0.36,-0.19,bad 
1930,-0.16,-0.19,bad 
1931,-0.09,-0.18,good
1932,-0.15,-0.17,good
1933,-0.28,-0.16,good
1934,-0.12,-0.15,good
1935,-0.2,-0.13,good
1936,-0.14,-0.1,good
1937,-0.02,,good
1938,0,-0.01,good
1939,-0.01,0.04,bad 
1940,0.13,0.07,bad 
1941,0.19,0.09,bad 
1942,0.07,0.11,bad 
1943,0.09,0.1,bad 
1944,0.21,0.08,bad 
1945,0.09,0.04,good
1946,-0.07,0.01,bad 
1947,-0.02,-0.03,bad 
1948,-0.1,-0.07,bad 
1949,-0.11,-0.08,bad 
1950,-0.17,-0.07,bad 
1951,-0.07,-0.07,bad 
1952,0.01,-0.07,bad 
1953,0.08,-0.07,bad 
1954,-0.13,-0.06,bad 
1955,-0.14,-0.06,bad 
1956,-0.19,-0.05,bad 
1957,0.05,-0.04,bad 
1958,0.06,-0.01,bad 
1959,0.03,0.01,bad 
1960,-0.03,0.03,bad 
1961,0.06,0.01,bad 
1962,0.03,-0.01,bad 
1963,0.05,-0.03,bad 
1964,-0.2,-0.04,good
1965,-0.11,-0.05,good
1966,-0.06,-0.06,good
1967,-0.02,-0.05,good
1968,-0.08,-0.03,good
1969,0.05,-0.02,good
1970,0.02,-0.01,good
1971,-0.08,0,good
1972,0.01,0,good
1973,0.16,0,good
1974,-0.07,0.01,good
1975,-0.01,0.02,good
1976,-0.1,0.04,good
1977,0.18,0.07,good
1978,0.07,0.12,good
